series_name,season,YEAR,YEAR.1,WEEK,t,CATCHMENT,AGE CATEGORY,SEX CATEGORY,RACE CATEGORY,VIRUS TYPE CATEGORY,WEEKLY RATE,CUMULATIVE RATE
Overall,2023-24,2023-24,2023,40,0,Entire Network,Overall,Overall,Overall,Overall,0.2,0.2
Overall,2023-24,2023-24,2023,41,1,Entire Network,Overall,Overall,Overall,Overall,0.2,0.4
Overall,2023-24,2023-24,2023,42,2,Entire Network,Overall,Overall,Overall,Overall,0.3,0.7
Overall,2023-24,2023-24,2023,43,3,Entire Network,Overall,Overall,Overall,Overall,0.3,1.0
Overall,2023-24,2023-24,2023,44,4,Entire Network,Overall,Overall,Overall,Overall,0.5,1.4
Overall,2023-24,2023-24,2023,45,5,Entire Network,Overall,Overall,Overall,Overall,0.8,2.2
Overall,2023-24,2023-24,2023,46,6,Entire Network,Overall,Overall,Overall,Overall,0.9,3.1
Overall,2023-24,2023-24,2023,47,7,Entire Network,Overall,Overall,Overall,Overall,1.4,4.5
Overall,2023-24,2023-24,2023,48,8,Entire Network,Overall,Overall,Overall,Overall,2.1,6.6
Overall,2023-24,2023-24,2023,49,9,Entire Network,Overall,Overall,Overall,Overall,2.9,9.5
Overall,2023-24,2023-24,2023,50,10,Entire Network,Overall,Overall,Overall,Overall,4.1,13.6
Overall,2023-24,2023-24,2023,51,11,Entire Network,Overall,Overall,Overall,Overall,6.7,20.3
Overall,2023-24,2023-24,2023,52,12,Entire Network,Overall,Overall,Overall,Overall,8.9,29.2
Overall,2023-24,2023-24,2024,1,13,Entire Network,Overall,Overall,Overall,Overall,6.9,36.1
Overall,2023-24,2023-24,2024,2,14,Entire Network,Overall,Overall,Overall,Overall,5.4,41.5
Overall,2023-24,2023-24,2024,3,15,Entire Network,Overall,Overall,Overall,Overall,4.2,45.7
Overall,2023-24,2023-24,2024,4,16,Entire Network,Overall,Overall,Overall,Overall,3.9,49.7
Overall,2023-24,2023-24,2024,5,17,Entire Network,Overall,Overall,Overall,Overall,3.5,53.2
Overall,2023-24,2023-24,2024,6,18,Entire Network,Overall,Overall,Overall,Overall,3.5,56.7
Overall,2023-24,2023-24,2024,7,19,Entire Network,Overall,Overall,Overall,Overall,3.4,60.1
Overall,2023-24,2023-24,2024,8,20,Entire Network,Overall,Overall,Overall,Overall,3.3,63.4
Overall,2023-24,2023-24,2024,9,21,Entire Network,Overall,Overall,Overall,Overall,3.3,66.7
Overall,2023-24,2023-24,2024,10,22,Entire Network,Overall,Overall,Overall,Overall,2.7,69.4
Overall,2023-24,2023-24,2024,11,23,Entire Network,Overall,Overall,Overall,Overall,2.1,71.6
Overall,2023-24,2023-24,2024,12,24,Entire Network,Overall,Overall,Overall,Overall,1.9,73.4
Overall,2023-24,2023-24,2024,13,25,Entire Network,Overall,Overall,Overall,Overall,1.7,75.2
Overall,2023-24,2023-24,2024,14,26,Entire Network,Overall,Overall,Overall,Overall,1.7,76.9
Overall,2023-24,2023-24,2024,15,27,Entire Network,Overall,Overall,Overall,Overall,1.3,78.1
Overall,2023-24,2023-24,2024,16,28,Entire Network,Overall,Overall,Overall,Overall,0.9,79.0
Overall,2023-24,2023-24,2024,17,29,Entire Network,Overall,Overall,Overall,Overall,0.7,79.7
Overall,2023-24,2023-24,2024,18,30,Entire Network,Overall,Overall,Overall,Overall,0.5,80.2
Overall,2023-24,2023-24,2024,19,31,Entire Network,Overall,Overall,Overall,Overall,0.4,80.6
Overall,2023-24,2023-24,2024,20,32,Entire Network,Overall,Overall,Overall,Overall,0.3,80.8
Overall,2023-24,2023-24,2024,21,33,Entire Network,Overall,Overall,Overall,Overall,0.3,81.1
Overall,2023-24,2023-24,2024,22,34,Entire Network,Overall,Overall,Overall,Overall,0.3,81.4
Overall,2023-24,2023-24,2024,23,35,Entire Network,Overall,Overall,Overall,Overall,0.2,81.6
Overall,2023-24,2023-24,2024,24,36,Entire Network,Overall,Overall,Overall,Overall,0.2,81.8
Overall,2023-24,2023-24,2024,25,37,Entire Network,Overall,Overall,Overall,Overall,0.2,82.0
Overall,2023-24,2023-24,2024,26,38,Entire Network,Overall,Overall,Overall,Overall,0.2,82.1
Overall,2023-24,2023-24,2024,27,39,Entire Network,Overall,Overall,Overall,Overall,0.2,82.3
Overall,2023-24,2023-24,2024,28,40,Entire Network,Overall,Overall,Overall,Overall,0.2,82.5
Overall,2023-24,2023-24,2024,29,41,Entire Network,Overall,Overall,Overall,Overall,0.1,82.6
Overall,2023-24,2023-24,2024,30,42,Entire Network,Overall,Overall,Overall,Overall,0.1,82.7
Overall,2023-24,2023-24,2024,31,43,Entire Network,Overall,Overall,Overall,Overall,0.1,82.7
Overall,2023-24,2023-24,2024,32,44,Entire Network,Overall,Overall,Overall,Overall,0.1,82.9
Overall,2023-24,2023-24,2024,33,45,Entire Network,Overall,Overall,Overall,Overall,0.1,83.0
Overall,2023-24,2023-24,2024,34,46,Entire Network,Overall,Overall,Overall,Overall,0.1,83.0
Overall,2023-24,2023-24,2024,35,47,Entire Network,Overall,Overall,Overall,Overall,0.1,83.1
Overall,2023-24,2023-24,2024,36,48,Entire Network,Overall,Overall,Overall,Overall,0.1,83.2
Overall,2023-24,2023-24,2024,37,49,Entire Network,Overall,Overall,Overall,Overall,0.1,83.3
Overall,2023-24,2023-24,2024,38,50,Entire Network,Overall,Overall,Overall,Overall,0.1,83.4
Overall,2023-24,2023-24,2024,39,51,Entire Network,Overall,Overall,Overall,Overall,0.0,83.4
