series_name,proposer_type,round_idx,prompt_contains_test_metric,prompt_contains_test_winner,prompt_contains_test_rank,prompt_contains_posthoc_metric,feedback_contains_test_metric,selection_uses_test_metric,posthoc_test_metric_only,safe_prompt_passed,safe_feedback_passed,safe_selection_passed,allowlist_hash
0-4 yr,mock_api_iterative,1,False,False,False,False,False,False,True,True,True,True,d9d74325ea4070ea
0-4 yr,mock_api_iterative,2,False,False,False,False,False,False,True,True,True,True,d9d74325ea4070ea
0-4 yr,mock_api_iterative,3,False,False,False,False,False,False,True,True,True,True,d9d74325ea4070ea
0-4 yr,mock_api_single_shot,1,False,False,False,False,False,False,True,True,True,True,d9d74325ea4070ea
0-4 yr,mock_api_single_shot,2,False,False,False,False,False,False,True,True,True,True,d9d74325ea4070ea
0-4 yr,mock_api_single_shot,3,False,False,False,False,False,False,True,True,True,True,d9d74325ea4070ea
0-4 yr,failure_guided_proposer,1,False,False,False,False,False,False,True,True,True,True,d9d74325ea4070ea
0-4 yr,failure_guided_proposer,2,False,False,False,False,False,False,True,True,True,True,d9d74325ea4070ea
0-4 yr,failure_guided_proposer,3,False,False,False,False,False,False,True,True,True,True,d9d74325ea4070ea
0-4 yr,random_candidate_proposer,1,False,False,False,False,False,False,True,True,True,True,d9d74325ea4070ea
0-4 yr,random_candidate_proposer,2,False,False,False,False,False,False,True,True,True,True,d9d74325ea4070ea
0-4 yr,random_candidate_proposer,3,False,False,False,False,False,False,True,True,True,True,d9d74325ea4070ea
0-4 yr,deterministic_seed_proposer,1,False,False,False,False,False,False,True,True,True,True,d9d74325ea4070ea
0-4 yr,deterministic_seed_proposer,2,False,False,False,False,False,False,True,True,True,True,d9d74325ea4070ea
0-4 yr,deterministic_seed_proposer,3,False,False,False,False,False,False,True,True,True,True,d9d74325ea4070ea
0-4 yr,oracle_reference,1,False,False,False,False,False,False,True,True,True,True,d9d74325ea4070ea
0-4 yr,oracle_reference,2,False,False,False,False,False,False,True,True,True,True,d9d74325ea4070ea
0-4 yr,oracle_reference,3,False,False,False,False,False,False,True,True,True,True,d9d74325ea4070ea
18-49 yr,mock_api_iterative,1,False,False,False,False,False,False,True,True,True,True,d9d74325ea4070ea
18-49 yr,mock_api_iterative,2,False,False,False,False,False,False,True,True,True,True,d9d74325ea4070ea
18-49 yr,mock_api_iterative,3,False,False,False,False,False,False,True,True,True,True,d9d74325ea4070ea
18-49 yr,mock_api_single_shot,1,False,False,False,False,False,False,True,True,True,True,d9d74325ea4070ea
18-49 yr,mock_api_single_shot,2,False,False,False,False,False,False,True,True,True,True,d9d74325ea4070ea
18-49 yr,mock_api_single_shot,3,False,False,False,False,False,False,True,True,True,True,d9d74325ea4070ea
18-49 yr,failure_guided_proposer,1,False,False,False,False,False,False,True,True,True,True,d9d74325ea4070ea
18-49 yr,failure_guided_proposer,2,False,False,False,False,False,False,True,True,True,True,d9d74325ea4070ea
18-49 yr,failure_guided_proposer,3,False,False,False,False,False,False,True,True,True,True,d9d74325ea4070ea
18-49 yr,random_candidate_proposer,1,False,False,False,False,False,False,True,True,True,True,d9d74325ea4070ea
18-49 yr,random_candidate_proposer,2,False,False,False,False,False,False,True,True,True,True,d9d74325ea4070ea
18-49 yr,random_candidate_proposer,3,False,False,False,False,False,False,True,True,True,True,d9d74325ea4070ea
18-49 yr,deterministic_seed_proposer,1,False,False,False,False,False,False,True,True,True,True,d9d74325ea4070ea
18-49 yr,deterministic_seed_proposer,2,False,False,False,False,False,False,True,True,True,True,d9d74325ea4070ea
18-49 yr,deterministic_seed_proposer,3,False,False,False,False,False,False,True,True,True,True,d9d74325ea4070ea
18-49 yr,oracle_reference,1,False,False,False,False,False,False,True,True,True,True,d9d74325ea4070ea
18-49 yr,oracle_reference,2,False,False,False,False,False,False,True,True,True,True,d9d74325ea4070ea
18-49 yr,oracle_reference,3,False,False,False,False,False,False,True,True,True,True,d9d74325ea4070ea
